"Name","Release","Developer","Publisher","Rating","Genre","Critics_Score","Number_Critics","Number_Critics_Pos","Number_Critics_Mixed","Number_Critics_Negative","User_score","Number_User","Number_User_Pos","Number_User_Mixed","Number_User_Negative","url","image","Mean_score","colour"
"Golden Sun","2001-11-11","Camelot Software Planning","Nintendo","Rated E","RPG",91,29,29,0,0,8.8,276,238,22,16,"https://www.metacritic.com/game/golden-sun/","https://www.metacritic.com/a/img/resize/eda5da9db961007c7c2c450573b14a50beecc3d9/catalog/provider/6/12/6-1-373581-52.jpg?auto=webp&fit=cover&height=132&width=88",8.95,"Good"
"Castlevania: Circle of the Moon","2001-06-10","KCEK","Konami","Rated T","Platformer",91,22,20,2,0,8.2,149,108,33,8,"https://www.metacritic.com/game/castlevania-circle-of-the-moon/","https://www.metacritic.com/a/img/resize/c458d29dbb549254d0904d4655d27c61d9f82384/catalog/provider/6/12/6-1-516233-52.jpg?auto=webp&fit=cover&height=132&width=88",8.65,"Good"
"Mario & Luigi: Superstar Saga","2003-11-17","Alphadream Corporation","Nintendo","Rated E","RPG",90,42,42,0,0,8.6,251,218,20,13,"https://www.metacritic.com/game/mario-and-luigi-superstar-saga/","https://www.metacritic.com/a/img/resize/894de04167516da8275e0c2a29f66d2b3d8eaeaf/catalog/provider/6/3/6-1-53840-13.jpg?auto=webp&fit=cover&height=132&width=88",8.8,"Good"
"Tony Hawk's Pro Skater 3","2001-10-30","Neversoft Entertainment","Activision","Rated T","Sports",97,34,33,1,0,7.7,442,322,61,59,"https://www.metacritic.com/game/tony-hawks-pro-skater-3/","https://www.metacritic.com/a/img/resize/cd4e747f7bb9420e31be1135a65b9b5be68e64ac/catalog/provider/6/3/6-1-13667-13.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Metroid: Zero Mission","2004-02-09","Nintendo","Nintendo","Rated E","Platformer",89,50,50,0,0,9.1,407,377,22,8,"https://www.metacritic.com/game/metroid-zero-mission/","https://www.metacritic.com/a/img/resize/ca9437c19f235288670b31d6780867396bb75368/catalog/provider/6/12/6-1-533766-52.jpg?auto=webp&fit=cover&height=132&width=88",9,"Good"
"The Legend of Zelda: The Minish Cap","2005-01-10","Flagship","Nintendo","Rated E","Action/Adventure",89,56,53,3,0,8.8,490,442,38,10,"https://www.metacritic.com/game/the-legend-of-zelda-the-minish-cap/","https://www.metacritic.com/a/img/resize/996ec7a9450691e495e6a9f35c6dd146ed2c8a5e/catalog/provider/6/12/6-1-398451-52.jpg?auto=webp&fit=cover&height=132&width=88",8.85,"Good"
"Advance Wars 2: Black Hole Rising","2003-06-24","Intelligent Systems","Nintendo","Rated E","Strategy",89,34,34,0,0,8.2,85,68,7,10,"https://www.metacritic.com/game/advance-wars-2-black-hole-rising/","https://www.metacritic.com/a/img/resize/25d6bf33cf62785f991369be8880b79652ee0e32/catalog/provider/6/12/6-1-611959-52.jpg?auto=webp&fit=cover&height=132&width=88",8.55,"Good"
"WarioWare, Inc.: Mega Microgame$!","2003-05-26","Nintendo","Nintendo","Rated E","Board and arcade",89,35,32,3,0,8.5,67,55,11,1,"https://www.metacritic.com/game/warioware-inc-mega-microgame/","https://www.metacritic.com/a/img/resize/f941ebb9fc87071c4c46298a720fb1575a55c88a/catalog/provider/6/3/6-1-52510-13.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Tactics Ogre: The Knight of Lodis","2002-05-11","Quest","Atlus","Rated E","Strategy",88,20,19,1,0,8.6,36,29,5,2,"https://www.metacritic.com/game/tactics-ogre-the-knight-of-lodis/","https://www.metacritic.com/a/img/resize/bdfe054070cb3d1e2b13679a488d1497a04324d2/catalog/provider/6/3/6-1-12835-13.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Wario Land 4","2001-11-18","Nintendo","Nintendo","Rated E","Platformer",88,17,17,0,0,8.7,89,77,10,2,"https://www.metacritic.com/game/wario-land-4/","https://www.metacritic.com/a/img/resize/6d6acdf05bd6f024d6e0258037153485deecd3ca/catalog/provider/6/3/6-1-14790-13.jpg?auto=webp&fit=cover&height=132&width=88",8.75,"Good"
"WarioWare: Twisted!","2005-05-23","Nintendo","Nintendo","Rated E","Board and arcade",88,39,38,1,0,8.6,35,27,7,1,"https://www.metacritic.com/game/warioware-twisted/","https://www.metacritic.com/a/img/resize/eeea769b50b787f5d41d6772a73d42bb16cc1caf/catalog/provider/6/3/6-1-61901-13.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Bomberman Tournament","2001-06-29","Amble","Activision","Rated E","Action/Adventure",88,16,15,1,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/bomberman-tournament/","https://www.metacritic.com/a/img/resize/b72e05daf071bdbe49016dd364e31749ddf67557/catalog/provider/6/3/6-1-13702-13.jpg?auto=webp&fit=cover&height=132&width=88",8.8,"Good"
"Fire Emblem","2003-11-03","Intelligent Systems","Nintendo","Rated E","Strategy",88,31,28,3,0,9,253,230,17,6,"https://www.metacritic.com/game/fire-emblem/","https://www.metacritic.com/a/img/resize/02fd0121bdaee16d5047fc758271ba40321d4fdd/catalog/provider/6/12/6-1-431226-52.jpg?auto=webp&fit=cover&height=132&width=88",8.9,"Good"
"Castlevania: Harmony of Dissonance","2002-09-16","KCET","Konami","Rated T","Platformer",87,27,24,3,0,8.3,110,84,22,4,"https://www.metacritic.com/game/castlevania-harmony-of-dissonance/","https://www.metacritic.com/a/img/resize/edca25ff6da0b404f8cbdc7ebdf3821259116228/catalog/provider/6/12/6-1-525547-52.jpg?auto=webp&fit=cover&height=132&width=88",8.5,"Good"
"Ultimate Card Games",NA,"Cosmigo","Telegames","Rated E","Board and arcade",87,9,8,1,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/ultimate-card-games/","https://www.metacritic.com/a/img/resize/f9d35969884761ddcdb0acaee30ce49c39f5068c/catalog/provider/6/3/6-1-61462-13.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Final Fantasy Tactics Advance","2003-09-08","Square Enix","Square Enix","Rated E","Strategy",87,44,40,4,0,8.9,293,251,28,14,"https://www.metacritic.com/game/final-fantasy-tactics-advance/","https://www.metacritic.com/a/img/resize/a380778de60afcdd0e8cd9bddaaccda26596db3e/catalog/provider/6/3/6-1-17112-13.jpg?auto=webp&fit=cover&height=132&width=88",8.8,"Good"
"Sonic Advance","2002-02-03","Sonic Team","THQ","Rated E","Platformer",87,22,22,0,0,7.9,136,94,35,7,"https://www.metacritic.com/game/sonic-advance/","https://www.metacritic.com/a/img/resize/a743e01caf8a3b8ca9952de9bf85f834c7f462ed/catalog/provider/6/3/6-1-14293-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Golden Sun: The Lost Age","2003-04-14","Camelot Software Planning","Nintendo","Rated E","RPG",86,29,26,3,0,8.7,168,146,6,16,"https://www.metacritic.com/game/golden-sun-the-lost-age/","https://www.metacritic.com/a/img/resize/e232977c5a3baf6f140a37019e73d54c2aee169c/catalog/provider/6/12/6-1-583076-52.jpg?auto=webp&fit=cover&height=132&width=88",8.65,"Good"
"Tony Hawk's Underground","2003-10-27","Neversoft Entertainment","Activision","Rated T","Sports",90,38,36,2,0,8.7,138,119,16,3,"https://www.metacritic.com/game/tony-hawks-underground/","https://www.metacritic.com/a/img/resize/76098489c7dbc9b9c307f38e8a624e1e8dd41a10/catalog/provider/6/3/6-1-53960-13.jpg?auto=webp&fit=cover&height=132&width=88",8.85,"Good"
"Moto Racer Advance","2002-12-05","Adeline Software","Ubisoft","Rated E","Racing",86,10,8,2,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/moto-racer-advance/","https://www.metacritic.com/a/img/resize/263155d5badc47e93b1c08953ad6874d92e201a3/catalog/provider/6/3/6-1-43706-13.jpg?auto=webp&fit=cover&height=132&width=88",8.6,"Good"
"F-Zero: Maximum Velocity","2001-06-12","Nd Cube","Nintendo","Rated E","Racing",86,19,18,1,0,7.9,37,26,7,4,"https://www.metacritic.com/game/f-zero-maximum-velocity/","https://www.metacritic.com/a/img/resize/732795d018efa13fc97e8b5d4fada85d213c7c67/catalog/provider/6/12/6-1-372874-17.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Astro Boy: Omega Factor","2004-08-18","Hitmaker","Sega","Rated E","Fighting",85,37,33,3,1,8.7,30,26,4,0,"https://www.metacritic.com/game/astro-boy-omega-factor/","https://www.metacritic.com/a/img/resize/05ddc686d986f646eacafd19034584055830d9ba/catalog/provider/6/3/6-1-57409-13.jpg?auto=webp&fit=cover&height=132&width=88",8.6,"Good"
"Fire Emblem: The Sacred Stones","2005-05-23","Intelligent Systems","Nintendo","Rated E","Strategy",85,38,36,2,0,8.9,234,205,22,7,"https://www.metacritic.com/game/fire-emblem-the-sacred-stones/","https://www.metacritic.com/a/img/resize/285a37c55b211465b4c6bb54e5f7556914e34449/catalog/provider/6/12/6-1-61181-17.jpg?auto=webp&fit=cover&height=132&width=88",8.7,"Good"
"Tony Hawk's Pro Skater 4","2002-10-23","Neversoft Entertainment","Activision","Rated T","Sports",94,27,27,0,0,8.4,191,149,31,11,"https://www.metacritic.com/game/tony-hawks-pro-skater-4/","https://www.metacritic.com/a/img/resize/5d0a9e4a1d93b3d3ddc42faa8e916179a700bbae/catalog/provider/6/3/6-1-17939-13.jpg?auto=webp&fit=cover&height=132&width=88",8.9,"Good"
"Final Fantasy IV","2005-12-12","TOSE","Nintendo","Rated E +10","RPG",85,30,28,1,1,8.4,65,54,8,3,"https://www.metacritic.com/game/final-fantasy-iv/","https://www.metacritic.com/a/img/resize/2354bc8e4624bdad925ca96fcfaaf5d37d31c61c/catalog/provider/6/3/6-1-71113-13.jpg?auto=webp&fit=cover&height=132&width=88",8.45,"Good"
"Dave Mirra Freestyle BMX 2","2001-09-06","Z-Axis, Ltd.","Acclaim","Rated T","Sports",81,21,16,5,0,7.6,12,8,3,1,"https://www.metacritic.com/game/dave-mirra-freestyle-bmx-2/","https://www.metacritic.com/a/img/resize/1ee42e2552cf8d9f676ebfb773f28c08eb7cec7a/catalog/provider/6/3/6-1-13628-13.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"Mario Golf: Advance Tour","2004-06-22","Camelot Software Planning","Nintendo","Rated E","Sports",84,38,33,5,0,8.2,18,12,5,1,"https://www.metacritic.com/game/mario-golf-advance-tour/","https://www.metacritic.com/a/img/resize/0ca1a68e628aa71b369917d8038a5c066039414e/catalog/provider/6/12/6-1-431778-52.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Super Street Fighter II Turbo: Revival","2001-10-30","Capcom","Capcom","Rated E","Fighting",84,17,12,4,1,7.2,23,13,7,3,"https://www.metacritic.com/game/super-street-fighter-ii-turbo-revival/","https://www.metacritic.com/a/img/resize/9c3a36f7d9adc8244e62bf3a43f349217d538766/catalog/provider/6/12/6-1-588872-52.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Super Mario Bros.","2004-06-02","Nintendo","Nintendo","Rated E","Platformer",84,14,12,2,0,8.3,138,105,29,4,"https://www.metacritic.com/game/classic-nes-series-super-mario-bros/","https://www.metacritic.com/a/img/resize/10f7c2d0d3818a100f851b0de8b409272ba05692/catalog/provider/6/3/6-1-14832-13.jpg?auto=webp&fit=cover&height=132&width=88",8.35,"Good"
"Super Mario Advance","2001-06-10","Nintendo","Nintendo","Rated E","Platformer",84,19,18,1,0,8.3,118,90,22,6,"https://www.metacritic.com/game/super-mario-advance/","https://www.metacritic.com/a/img/resize/e458ceba534714551e036fa1b86e3d012750ab0e/catalog/provider/6/12/6-1-597029-52.jpg?auto=webp&fit=cover&height=132&width=88",8.35,"Good"
"Spider-Man: Mysterio's Menace","2001-09-19","Vicarious Visions","Activision","Rated E","Platformer",84,8,6,2,0,7.5,19,12,5,2,"https://www.metacritic.com/game/spider-man-mysterios-menace/","https://www.metacritic.com/a/img/resize/d5ee61fa43c1cc5af0aba51760a9653884038ce6/catalog/provider/6/3/6-1-13352-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Rayman","2001-06-11","Digital Eclipse","Ubisoft","Rated E","Platformer",84,17,15,2,0,8.1,32,23,8,1,"https://www.metacritic.com/game/rayman/","https://www.metacritic.com/a/img/resize/4378ca1c392cd74f10727797985237f50d905212/catalog/provider/6/12/6-1-632349-52.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Puyo Pop","2002-02-11","Sonic Team","THQ","Rated E","Puzzle",84,14,13,1,0,7.2,6,4,1,1,"https://www.metacritic.com/game/puyo-pop/","https://www.metacritic.com/a/img/resize/746e411fb32c727293239af7fe66ee86e3f111fc/catalog/provider/6/3/6-1-16456-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"The Legend of Zelda","2004-06-02","Nintendo","Nintendo","Rated E","Action/Adventure",84,16,13,2,1,8.3,126,95,26,5,"https://www.metacritic.com/game/the-legend-of-zelda/","https://www.metacritic.com/a/img/resize/459b98b9287fbee37f6420b480cdbaaccafa3032/catalog/provider/6/3/6-1-58466-13.jpg?auto=webp&fit=cover&height=132&width=88",8.35,"Good"
"ChuChu Rocket!","2001-06-10","Sonic Team","Sega","Rated E","Puzzle",84,15,14,1,0,6,6,3,1,2,"https://www.metacritic.com/game/chuchu-rocket/","https://www.metacritic.com/a/img/resize/23a66032cf049aa0c75913d11e9fa2e1ac7bb956/catalog/provider/6/3/6-1-2391-13.jpg?auto=webp&fit=cover&height=132&width=88",7.2,"Mixed"
"Virtua Tennis","2000-07-12","Hitmaker","Sega","Rated E","Sports",92,23,23,0,0,9.1,14,13,1,0,"https://www.metacritic.com/game/virtua-tennis/","https://www.metacritic.com/a/img/resize/2f3fdc9fefe539b6f3ce1d4f6353418deb04276a/catalog/provider/6/3/6-1-8694-13.jpg?auto=webp&fit=cover&height=132&width=88",9.15,"Good"
"Racing Gears Advance","2005-02-08","Orbital Media, Inc.","Orbital Media, Inc.","Rated E","Racing",83,17,14,3,0,7.9,36,30,3,3,"https://www.metacritic.com/game/racing-gears-advance/","https://www.metacritic.com/a/img/resize/c3c15aafbd28cfbd10317b3620e38379d49ccff0/catalog/provider/6/3/6-1-64181-13.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
"Super Puzzle Fighter II Turbo","2003-03-31","Atomic Planet Entertainment","Capcom","Rated E","Puzzle",83,22,19,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/super-puzzle-fighter-ii-turbo/","https://www.metacritic.com/a/img/resize/d63fccfccd62cde577340d7f17688f87495256ce/catalog/provider/6/3/6-1-7820-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Street Fighter Alpha 3","2006-02-07","Capcom","Capcom","Rated T","Fighting",80,35,27,8,0,8,34,27,3,4,"https://www.metacritic.com/game/street-fighter-alpha-3/","https://www.metacritic.com/a/img/resize/26228fb1c7ac0c60de27007433237a1941666803/catalog/provider/6/3/6-1-7688-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Gunstar Super Heroes","2005-10-25","Treasure","Sega","Rated E +10","Platformer",83,31,26,5,0,7.3,12,8,2,2,"https://www.metacritic.com/game/gunstar-super-heroes/","https://www.metacritic.com/a/img/resize/d7034146faa41ffa2f4fe6c7254dffca99599b76/catalog/provider/6/3/6-1-67371-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Sonic Advance 2","2003-03-09","Dimps Corporation","THQ","Rated E","Platformer",83,23,19,4,0,7.8,96,62,26,8,"https://www.metacritic.com/game/sonic-advance-2/","https://www.metacritic.com/a/img/resize/8edd73df56f48f6d73c16ff81d683c99973e32a3/catalog/provider/6/3/6-1-18736-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"Rayman 3","2003-03-04","Ubisoft","Ubisoft","Rated E","Platformer",83,21,17,4,0,6.9,13,6,5,2,"https://www.metacritic.com/game/rayman-3/","https://www.metacritic.com/a/img/resize/badd2eb14cbd4e1387a56aeeac66663a5f66ec84/catalog/provider/6/12/6-1-632348-52.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Final Fantasy V","2006-11-06","TOSE","Nintendo","Rated E","RPG",83,25,21,4,0,8.1,84,65,16,3,"https://www.metacritic.com/game/final-fantasy-v/","https://www.metacritic.com/a/img/resize/3765a8f7615d95ff02d2c34a1bdfaa890ddd7afd/catalog/provider/6/3/6-1-71943-13.jpg?auto=webp&fit=cover&height=132&width=88",8.2,"Good"
"Boktai: The Sun Is in Your Hand","2003-09-16","KCEJ","Konami","Rated E","Action/Adventure",83,31,23,8,0,6.8,16,11,1,4,"https://www.metacritic.com/game/boktai-the-sun-is-in-your-hand/","https://www.metacritic.com/a/img/resize/848a8a7b948a910f7de94d336a8e00d6e12dde20/catalog/provider/6/3/6-1-52405-13.jpg?auto=webp&fit=cover&height=132&width=88",7.55,"Good"
"Super Robot Taisen: Original Generation 2","2006-11-14","Banpresto","Atlus","Rated T","Strategy",82,7,6,1,0,7.9,7,6,0,1,"https://www.metacritic.com/game/super-robot-taisen-original-generation-2/","https://www.metacritic.com/a/img/resize/43603e58661ddf989a24df8b6e9e780c425a1e7a/catalog/provider/6/3/6-1-61906-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"GT Advance Championship Racing","2001-06-08","MTO","THQ","Rated E","Racing",82,10,7,3,0,7.8,5,4,0,1,"https://www.metacritic.com/game/gt-advance-championship-racing/","https://www.metacritic.com/a/img/resize/9fc8713d4b5538c0377a31152eaa0b9122a54ad3/catalog/provider/6/3/6-1-13138-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Pokemon Ruby Version","2003-03-19","Game Freak","Nintendo","Rated E","RPG",82,30,22,7,1,8.4,381,306,61,14,"https://www.metacritic.com/game/pokemon-ruby-version/","https://www.metacritic.com/a/img/resize/822646153eab0384f9e30fa80b8391085032b778/catalog/provider/6/3/6-1-13109-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Super Monkey Ball Jr.","2002-11-19","Realism Ltd","THQ","Rated E","Puzzle",82,20,17,3,0,7,15,10,2,3,"https://www.metacritic.com/game/super-monkey-ball-jr/","https://www.metacritic.com/a/img/resize/81462177b79dbd9d4a17f9441d250d17dc3747b2/catalog/provider/6/3/6-1-17119-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Mega Man Zero","2002-09-09","Inti Creates","Capcom","Rated E","Platformer",82,17,15,2,0,8.1,89,70,13,6,"https://www.metacritic.com/game/mega-man-zero/","https://www.metacritic.com/a/img/resize/4ac2f696414668b0e05e4369c5424d9f7f1fa078/catalog/provider/6/12/6-1-504311-52.jpg?auto=webp&fit=cover&height=132&width=88",8.15,"Good"
"Tekken Advance","2002-01-28","Eighting/Raizing","Namco","Rated T","Fighting",82,14,12,2,0,7.6,24,15,7,2,"https://www.metacritic.com/game/tekken-advance/","https://www.metacritic.com/a/img/resize/d77813179df033d8c0f675438685cbc421cf60d1/catalog/provider/6/3/6-1-15113-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"V-Rally 3","2003-03-25","Eden Studios","Atari SA","Rated E","Racing",76,13,7,5,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/v-rally-3/","https://www.metacritic.com/a/img/resize/cf5c4abf93a395f72567589cfa1f75bd63eaef37/catalog/provider/6/3/6-1-16179-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Harvest Moon: More Friends of Mineral Town","2005-07-26","TOSE","Natsume","Rated E","Simulation",82,8,8,0,0,7.3,18,12,2,4,"https://www.metacritic.com/game/harvest-moon-more-friends-of-mineral-town/","https://www.metacritic.com/a/img/resize/6f150e58e2a79a6616db9ee5cd746d404bf2f411/catalog/provider/6/3/6-1-57937-13.jpg?auto=webp&fit=cover&height=132&width=88",7.75,"Good"
"Final Fight One","2001-09-26","Sun-Tec","Capcom","Rated E","Fighting",82,16,10,6,0,8.3,10,7,3,0,"https://www.metacritic.com/game/final-fight-one/","https://www.metacritic.com/a/img/resize/5584338a383e0720060d17cbd151ca932be6ce63/catalog/provider/6/3/6-1-13034-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Ninja Five-0","2003-04-22","Hudson","Konami","Rated E","Platformer",82,16,15,1,0,8.3,33,28,4,1,"https://www.metacritic.com/game/ninja-five-0/","https://www.metacritic.com/a/img/resize/58c317675fd0b78704d480e2703be586c8c98982/catalog/provider/6/3/6-1-52215-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"DOOM (1993)","2006-09-27","Nerve Software","Activision","Rated M","Shooter",82,26,21,4,1,8.6,182,152,19,11,"https://www.metacritic.com/game/doom-1993/","https://www.metacritic.com/a/img/resize/50326c232093428e74bfcaf0f35ef9d7778ae4fa/catalog/provider/6/3/6-1-3037-13.jpg?auto=webp&fit=cover&height=132&width=88",8.4,"Good"
"Drill Dozer","2006-02-06","Game Freak","Nintendo","Rated E","Platformer",81,34,28,6,0,8.4,18,15,2,1,"https://www.metacritic.com/game/drill-dozer/","https://www.metacritic.com/a/img/resize/a33cbdbae4dd6cecfd440eb5f8d47c9b58e4c171/catalog/provider/6/3/6-1-68881-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Duke Nukem Advance","2002-08-12","Torus Games","Take-Two Interactive","Rated T","Shooter",81,15,12,3,0,7.8,12,8,3,1,"https://www.metacritic.com/game/duke-nukem-advance/","https://www.metacritic.com/a/img/resize/9a78ef3727e4328ad601389942aa28cc3a0da46c/catalog/provider/6/3/6-1-18705-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Mega Man Zero 2","2003-10-14","Inti Creates","Capcom","Rated E","Platformer",81,17,12,5,0,7.9,59,48,2,9,"https://www.metacritic.com/game/mega-man-zero-2/","https://www.metacritic.com/a/img/resize/976d80073f112dc5ac1a43130ac8c161515619a5/catalog/provider/6/3/6-1-52415-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Mario Tennis: Power Tour","2005-12-05","Camelot Software Planning","Nintendo","Rated E","Sports",81,21,13,8,0,8.5,39,34,3,2,"https://www.metacritic.com/game/mario-tennis-power-tour/","https://www.metacritic.com/a/img/resize/7ec8cca6453fc0fab0e157fe6012accb0e6f8f4d/catalog/provider/6/3/6-1-68501-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Karnaaj Rally","2003-01-02","Paragon 5","Jaleco Entertainment","Rated E","Simulation",81,9,7,2,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/karnaaj-rally/","https://www.metacritic.com/a/img/resize/66563ac84eb54903ec596b47fc8842e53e953220/catalog/provider/6/3/6-1-44217-13.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
"Kirby: Nightmare in Dream Land","2002-12-02","HAL Labs","Nintendo","Rated E","Platformer",81,24,18,6,0,8.4,95,73,21,1,"https://www.metacritic.com/game/kirby-nightmare-in-dream-land/","https://www.metacritic.com/a/img/resize/48d6aae6085c61a26972a827c8e1e8e04fe685cc/catalog/provider/6/3/6-1-18568-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Mario vs. Donkey Kong (2004)","2004-05-24","Nintendo Software Technology","Nintendo","Rated E","Platformer",81,43,37,6,0,8.1,52,38,13,1,"https://www.metacritic.com/game/mario-vs-donkey-kong-2004/","https://www.metacritic.com/a/img/resize/9e2ac49dd5fef58ebe6e2796c7dc2b940a83ac5c/catalog/provider/6/12/6-1-611954-52.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
